"time","wallTime","wc2.P.x [m]","wc2.P.v [m/s]","wc2.P.F [N]","wc1.P.x [m]","wc1.P.v [m/s]","wc1.P.F [N]"
0.0349,4.6739,0,0,0,0,0,0
0.035,4.67394,0,0,0,0,0,0
0.0351,4.67396,0,0,0,0,0,0
0.0352,4.67397,0,0,0,0,0,0
0.0353,4.67398,0,0,0,0,0,0
0.0354,4.674,0,0,0,0,0,0
0.0355,4.67406,0,0,0,0,0,0
0.0356,4.67408,0,0,0,0,0,0
0.0357,4.67409,0,0,0,0,0,0
0.0358,4.6741,0,0,0,0,0,0
0.0359,4.67412,0,0,0,0,0,0
0.036,4.67415,0,0,0,0,0,0
0.0361,4.67416,0,0,0,0,0,0
0.0362,4.67417,0,0,0,0,0,0
0.0363,4.67419,0,0,0,0,0,0
0.0364,4.6742,0,0,0,0,0,0
0.0365,4.67424,0,0,0,0,0,0
0.0366,4.67425,0,0,0,0,0,0
0.0367,4.67426,0,0,0,0,0,0
0.0368,4.67427,0,0,0,0,0,0
0.0369,4.67428,0,0,0,0,0,0
0.037,4.67431,0,0,0,0,0,0
0.0371,4.67432,0,0,0,0,0,0
0.0372,4.67433,0,0,0,0,0,0
0.0373,4.67435,0,0,0,0,0,0
0.0374,4.67436,0,0,0,0,0,0
0.0375,4.67439,0,0,0,0,0,0
0.0376,4.67441,0,0,0,0,0,0
0.0377,4.67442,0,0,0,0,0,0
0.0378,4.67443,0,0,0,0,0,0
0.0379,4.67444,0,0,0,0,0,0
0.038,4.67447,0,0,0,0,0,0
0.0381,4.67448,0,0,0,0,0,0
0.0382,4.67449,0,0,0,0,0,0
0.0383,4.6745,0,0,0,0,0,0
0.0384,4.67451,0,0,0,0,0,0
0.0385,4.67455,0,0,0,0,0,0
0.0386,4.67456,0,0,0,0,0,0
0.0387,4.67457,0,0,0,0,0,0
0.0388,4.67459,0,0,0,0,0,0
0.0389,4.6746,0,0,0,0,0,0
0.039,4.67463,0,0,0,0,0,0
0.0391,4.67464,0,0,0,0,0,0
0.0392,4.67465,0,0,0,0,0,0
0.0393,4.67466,0,0,0,0,0,0
0.0394,4.67467,0,0,0,0,0,0
0.0395,4.67471,0,0,0,0,0,0
0.0396,4.67472,0,0,0,0,0,0
0.0397,4.67474,0,0,0,0,0,0
0.0398,4.67475,0,0,0,0,0,0
0.0399,4.67476,0,0,0,0,0,0
0.04,4.67479,0,0,0,0,0,0
0.0401,4.6748,0,0,0,0,0,0
0.0402,4.67481,0,0,0,0,0,0
0.0403,4.67482,0,0,0,0,0,0
0.0404,4.67483,0,0,0,0,0,0
0.0405,4.67487,0,0,0,0,0,0
0.0406,4.67488,0,0,0,0,0,0
0.0407,4.67489,0,0,0,0,0,0
0.0408,4.67491,0,0,0,0,0,0
0.0409,4.67492,0,0,0,0,0,0
0.041,4.67495,0,0,0,0,0,0
0.0411,4.67496,0,0,0,0,0,0
0.0412,4.67497,0,0,0,0,0,0
0.0413,4.67498,0,0,0,0,0,0
0.0414,4.67499,0,0,0,0,0,0
0.0415,4.67503,0,0,0,0,0,0
0.0416,4.67504,0,0,0,0,0,0
0.0417,4.67505,0,0,0,0,0,0
0.0418,4.67506,0,0,0,0,0,0
0.0419,4.67507,0,0,0,0,0,0
0.042,4.67511,0,0,0,0,0,0
0.0421,4.67512,0,0,0,0,0,0
0.0422,4.67513,0,0,0,0,0,0
0.0423,4.67514,0,0,0,0,0,0
0.0424,4.67515,0,0,0,0,0,0
0.0425,4.67519,0,0,0,0,0,0
0.0426,4.6752,0,0,0,0,0,0
0.0427,4.67521,0,0,0,0,0,0
0.0428,4.67522,0,0,0,0,0,0
0.0429,4.67524,0,0,0,0,0,0
0.043,4.67527,0,0,0,0,0,0
0.0431,4.67528,0,0,0,0,0,0
0.0432,4.67529,0,0,0,0,0,0
0.0433,4.6753,0,0,0,0,0,0
0.0434,4.67531,0,0,0,0,0,0
0.0435,4.67535,0,0,0,0,0,0
0.0436,4.67536,0,0,0,0,0,0
0.0437,4.67537,0,0,0,0,0,0
0.0438,4.67538,0,0,0,0,0,0
0.0439,4.6754,0,0,0,0,0,0
0.044,4.67543,0,0,0,0,0,0
0.0441,4.67544,0,0,0,0,0,0
